elapsed_seconds,client_id,latency_ms
3465.012,3,0.581
3465.012,4,0.615
3480.014,1,0.922
3480.014,2,0.801
3480.014,3,0.815
3480.014,4,13.405
3495.023,1,1.19
3495.023,2,1.241
3495.023,3,0.494
3495.023,4,20.994
3510.002,1,1.064
3510.002,2,0.779
3510.002,3,0.85
3510.002,4,0.834
3525.015,1,14.186
3525.015,2,0.845
3525.015,3,0.632
3525.015,4,0.653
3540.021,1,19.697
3540.021,2,0.678
3540.021,3,19.61
3540.021,4,19.751
3555.015,1,0.849
3555.015,2,0.597
3555.015,3,14.005
3555.015,4,0.549
3570.019,1,0.823
3570.019,2,0.849
3570.019,3,17.134
3570.019,4,17.238
3585.018,1,17.519
3585.018,2,0.684
3585.018,3,16.846
3585.018,4,0.675
3600.026,1,0.797
3600.026,2,0.791
3600.026,3,25.23
3600.026,4,0.56
3615.02,1,1.132
3615.02,2,18.586
3615.02,3,0.742
3615.02,4,18.39
3630.023,1,22.252
3630.023,2,0.669
3630.023,3,0.645
3630.023,4,0.582
3645.002,1,0.832
3645.002,2,0.818
3645.002,3,0.687
3645.002,4,0.573
3660.022,1,0.893
3660.022,2,20.953
3660.022,3,20.43
3660.022,4,0.413
3675.003,1,1.0
3675.003,2,1.228
3675.003,3,1.095
3675.003,4,0.866
3690.022,1,20.241
3690.022,2,20.24
3690.022,3,20.389
3690.022,4,0.483
3705.018,1,1.08
3705.018,2,0.8
3705.018,3,17.252
3705.018,4,0.419
3720.015,1,0.837
3720.015,2,0.924
3720.015,3,0.993
3720.015,4,13.709
3735.012,1,11.405
3735.012,2,11.139
3735.012,3,0.67
3735.012,4,0.424
3750.012,1,0.903
3750.012,2,11.146
3750.012,3,0.747
3750.012,4,10.916
3765.02,1,19.431
3765.02,2,19.159
3765.02,3,0.596
3765.02,4,0.556
3780.019,1,0.78
3780.019,2,0.694
3780.019,3,17.648
3780.019,4,0.49
3795.002,1,0.91
3795.002,2,1.038
3795.002,3,0.705
3795.002,4,0.955
3810.018,1,0.891
3810.018,2,17.466
3810.018,3,0.607
3810.018,4,1.248
3825.012,1,1.65
3825.012,2,0.857
3825.012,3,0.776
3825.012,4,9.919
3840.021,1,20.193
3840.021,2,19.991
3840.021,3,0.598
3840.021,4,19.677
3855.014,1,1.087
3855.014,2,12.098
3855.014,3,1.208
3855.014,4,0.46
3870.023,1,22.47
3870.023,2,22.077
3870.023,3,22.092
3870.023,4,21.946
3885.024,1,1.016
3885.024,2,23.155
3885.024,3,0.576
3885.024,4,0.629
3900.002,1,0.852
3900.003,2,0.769
3900.003,3,0.683
3900.003,4,0.527
3915.013,1,1.164
3915.013,2,0.78
3915.013,3,12.174
3915.013,4,0.627
3930.002,1,1.125
3930.002,2,0.839
3930.002,3,0.777
3930.002,4,0.8
3945.021,1,1.011
3945.021,2,20.091
3945.021,3,0.446
3945.021,4,0.543
3960.014,1,0.978
3960.014,2,0.801
3960.014,3,0.629
3960.014,4,13.158
3975.003,1,1.034
3975.003,2,0.7
3975.003,3,1.172
3975.003,4,1.26
3990.023,1,22.202
3990.023,2,0.671
3990.023,3,0.574
3990.023,4,21.562
4005.002,1,0.792
4005.002,2,0.749
4005.002,3,0.597
4005.002,4,0.447
4020.002,1,0.982
4020.002,2,0.797
4020.002,3,0.845
4020.002,4,0.618
4035.002,1,0.967
4035.002,2,0.594
4035.002,3,0.79
4035.002,4,0.459
4050.002,1,1.077
4050.002,2,1.1
4050.002,3,0.756
4050.002,4,0.875
4065.003,1,0.958
4065.003,2,0.759
4065.003,3,1.528
4065.003,4,0.64
4080.002,1,0.893
4080.002,2,0.733
4080.002,3,1.032
4080.002,4,0.449
4095.014,1,0.948
4095.014,2,12.626
4095.014,3,12.188
4095.014,4,0.659
4110.002,1,1.086
4110.002,2,1.218
4110.002,3,0.605
4110.002,4,0.469
4125.027,1,1.115
4125.027,2,0.617
4125.027,3,25.582
4125.027,4,0.817
4140.003,1,1.433
4140.003,2,0.838
4140.003,3,0.792
4140.003,4,0.788
4155.024,1,0.855
4155.024,2,0.599
4155.024,3,0.813
4155.024,4,22.7
4170.002,1,1.008
4170.002,2,0.826
4170.002,3,1.292
4170.002,4,0.642
4185.02,1,19.026
4185.02,2,19.342
4185.02,3,18.469
4185.02,4,18.928
4200.017,1,15.0
4200.017,2,0.714
4200.017,3,0.837
4200.017,4,0.883
4215.014,1,13.764
4215.014,2,0.643
4215.014,3,0.937
4215.014,4,1.017
4230.015,1,1.286
4230.015,2,1.059
4230.015,3,0.768
4230.015,4,13.831
4245.026,1,1.063
4245.026,2,24.529
4245.026,3,0.9
4245.026,4,0.945
4260.002,1,1.126
4260.002,2,1.156
4260.002,3,0.767
4260.002,4,0.831
4275.027,1,0.835
4275.027,2,0.945
4275.027,3,0.797
4275.027,4,25.178
4290.017,1,0.876
4290.017,2,1.13
4290.017,3,15.501
4290.017,4,0.589
4305.002,1,0.758
4305.002,2,0.653
4305.002,3,0.667
4305.002,4,0.603
4320.017,1,0.888
4320.017,2,15.308
4320.017,3,14.789
4320.017,4,0.477
4335.02,1,0.847
4335.02,2,18.642
4335.02,3,18.628
4335.02,4,17.868
4350.022,1,0.913
4350.022,2,0.921
4350.022,3,20.258
4350.022,4,19.574
4365.026,1,25.209
4365.026,2,0.881
4365.026,3,24.872
4365.026,4,0.372
4380.02,1,18.991
